District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
0250011,Cheshire School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,15%,4186,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0250161,The Webb School at Cheshire,09/04/2020,"g2, g3, g4, g5, g6, g7",N/A,g8,*,15,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0260011,Chester School District,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,14%,202,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0270011,Clinton School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,1567,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0280011,Colchester School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,2247,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0290011,Colebrook School District,09/02/2020,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,11%,74,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0300011,Columbia School District,09/04/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,18%,401,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0310011,Cornwall School District,09/10/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,13%,103,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0320011,Coventry School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,1603,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0330011,Cromwell School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,1988,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0330161,Adelbrook-The Learning Center of Cromwell,08/29/2020,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,12%,69,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0340011,Danbury School District,09/10/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,11849,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0350011,Darien School District,09/05/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,5%,4659,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0360011,Deep River School District,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,21%,219,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0360161,Connecticut Coastal Academy,08/28/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,*,29,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0370011,Derby School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,30%,1221,,Public School Districts,Opportunity,"September 14, 2020 - September 18, 2020",09/24/2020
0380261,Rushford Academy,09/02/2020,"g9, g10, g11, g12",N/A,N/A,*,12,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0390011,Eastford School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,11%,138,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0400011,East Granby School District,09/02/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,829,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0410011,East Haddam School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,26%,935,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0420011,East Hampton School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,1823,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0430011,East Hartford School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,42%,6521,,Public School Districts,Opportunity,"September 14, 2020 - September 18, 2020",09/24/2020
0430121,Adelbrook-The Learning Center of East Hartford,08/29/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,19,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0440011,East Haven School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,25%,2684,,Public School Districts,Opportunity,"September 14, 2020 - September 18, 2020",09/24/2020
0440221,Pathways Academy - East Haven,09/05/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,42%,24,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0450011,East Lyme School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,2608,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0450161,The Light House on Main St,08/28/2020,N/A,"g10, g11","g9, g12",*,12,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0450261,The Light House on Pennsylvania Ave,08/28/2020,N/A,"g3, g7, g8, g9, g12",N/A,*,8,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0460011,Easton School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,12%,855,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0460161,The Speech Academy-Easton,09/04/2020,"g1, g2, g4, g5, g6, g8, g10, g12",g9,"g3, g7, g11",*,47,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0470011,East Windsor School District,09/05/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,34%,1038,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0480011,Ellington School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,2659,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0490011,Enfield School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,27%,4919,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0490161,Natchaug Hospital School Joshua Center-Enfield,09/02/2020,"g9, g10, g11, g12",N/A,N/A,*,10,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0500011,Essex School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6",N/A,11%,306,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0510011,Fairfield School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,9408,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0516061,Saint Catherine Academy,09/04/2020,"g4, g8, g10, g11, g12",N/A,g9,*,13,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0520011,Farmington School District,09/04/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,4086,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0530011,Franklin School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,7%,162,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0530121,Natchaug Hospital Green Valley School,09/02/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,29,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0540011,Glastonbury School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,19%,5726,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0560011,Granby School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,17%,1721,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0570011,Greenwich School District,09/11/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,17%,8792,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0570161,Eagle Hill School,09/04/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0580011,Griswold School District,09/04/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,20%,1672,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0590011,Groton School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,4080,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0130011,Bozrah School District,08/31/2020,"PK, K, g1, g2, g3","g4, g5, g6, g7, g8",N/A,24%,172,,Public School Districts,,"October 12, 2020 - October 16, 2020",10/22/2020
0600011,Guilford School District,09/12/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,3084,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0620011,Hamden School District,09/17/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,35%,5398,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0620261,Cedarhurst School,09/10/2020,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",100%,59,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0620361,Whitney Hall School,08/28/2020,"g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,68,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0626161,Lorraine D. Foster Day School,09/04/2020,N/A,N/A,"g7, g8, g9, g10, g11, g12",*,16,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0630011,Hampton School District,09/04/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,15%,78,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0640011,Hartford School District,09/11/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9","g10, g11, g12",N/A,56%,17403,,Public School Districts,Opportunity,"September 14, 2020 - September 18, 2020",09/24/2020
0640261,Grace S. Webb School,09/04/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,29%,99,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0642061,Eagle House Education Program,09/03/2020,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,13,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0642161,High Road School of Hartford High,09/02/2020,N/A,"g8, g9, g10, g11, g12",N/A,50%,28,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0642261,High Road School of Hartford-Primary,09/02/2020,N/A,"g2, g3, g4, g5, g6, g7, g8",N/A,41%,34,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0646061,Futures School-West Hartford,09/02/2020,N/A,"g9, g10, g11, g12",N/A,50%,32,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0646161,Options Educational Services,09/02/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,20,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0650011,Hartland School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,15%,145,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0670011,Hebron School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,16%,637,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0670221,Oak Hill School at Hemlocks Center,07/08/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,9,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0680011,Kent School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,10%,207,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0690011,Killingly School District,09/02/2020,"PK, K, g1","g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,2438,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0690161,Natchaug Hospital School Joshua Center NE-Danielson,09/02/2020,"g8, g9, g10, g11, g12",N/A,N/A,*,11,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0690421,High Road School Hartford High: Windham County,08/29/2020,"g7, g9, g12",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0710011,Lebanon School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,950,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0720011,Ledyard School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,2265,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0730011,Lisbon School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,16%,426,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0740011,Litchfield School District,08/28/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,8%,840,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0740161,Connecticut Junior Republic,09/03/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,47,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0740461,Touchstone School,09/02/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,*,7,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0760011,Madison School District,09/05/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,7%,2470,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0760161,Grove School,09/12/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,*,95,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0770011,Manchester School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,5953,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0770161,Community Child Guidance Clinic School,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,37%,46,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0770221,Adelbrook-The Learning Center of Manchester,08/29/2020,"g1, g2, g3, g4, g5, g6",N/A,N/A,*,31,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0770361,Manchester Memorial Hospital Clinical Day School,09/05/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,22%,27,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0780011,Mansfield School District,09/05/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,26%,1038,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0780161,Natchaug Hospital Inpatient School,09/02/2020,N/A,N/A,N/A,N/A,0,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0780361,Natchaug Hospital Journey School,09/02/2020,"g9, g10",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0790011,Marlborough School District,09/10/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,13%,442,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0800011,Meriden School District,09/05/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,41%,7948,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0800161,Meliora Academy,09/10/2020,"g6, g7, g8, g9, g10, g11, g12",g3,"g1, g4",18%,50,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0830011,Middletown School District,09/05/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,4247,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0840011,Milford School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,15%,5439,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0840161,Charles F. Hayden School at Boys & Girls Village,08/26/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,23%,88,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0840461,Milestones Behavioral Services-Orange,08/29/2020,"g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,32,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0840561,Milestones Behavioral Services-Milford,08/29/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,10%,61,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0846061,The Foundation School-Milford,09/10/2020,"g8, g9, g10, g11, g12",N/A,N/A,21%,33,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0846161,Woodhouse Academy,09/02/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,*,20,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0850011,Monroe School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,3158,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0860011,Montville School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,1925,,Public School Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
0860221,Bradley School-New London Regional,09/03/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,17%,52,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
0880011,Naugatuck School District,09/04/2020,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,34%,4271,,Public School Districts,Alliance,"September 14, 2020 - September 18, 2020",09/24/2020
0880521,IPPI Learning Academy at Prospect St. School,09/05/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,22,,Approved Private Special Education Program,,"September 14, 2020 - September 18, 2020",09/24/2020
